,OFFENSE_CODE_GROUP,DISTRICT,YEAR,MONTH,DAY_OF_WEEK,HOUR,Lat,Long
54,Larceny,C6,2019,9,7,3,42.34006986,-71.05279420000001
79,Larceny,D4,2019,9,6,23,42.34439568,-71.08632016
123,Larceny,E13,2019,9,6,20,42.31929343,-71.11178236
129,Larceny,C11,2019,9,6,19,42.29126463,-71.06811401
131,Larceny,C11,2019,9,6,19,42.29526287,-71.07207439
132,Larceny,D4,2019,9,6,19,42.347972399999996,-71.07849582
155,Larceny,D14,2019,9,6,16,42.34989652,-71.1314345
159,Larceny,C11,2019,9,6,17,42.29057504,-71.07165726
164,Larceny,C6,2019,9,6,17,42.33054986,-71.04060752
178,Larceny,B2,2019,9,6,15,42.33380683,-71.10377843
182,Larceny,D4,2019,9,6,15,42.34496729,-71.06382224
202,Larceny,E5,2019,9,6,14,42.28898462,-71.15224773
213,Larceny,D4,2019,9,6,12,42.34862382,-71.08277637
217,Larceny,D4,2019,9,6,13,42.34980175,-71.07840978
222,Larceny,D4,2019,9,6,11,42.34840576,-71.08688339
223,Larceny,D4,2019,9,6,11,42.34496729,-71.06382224
225,Larceny,C11,2019,9,6,12,42.28863812,-71.06631579
247,Larceny,B2,2019,9,5,22,42.3166175,-71.06407827
252,Larceny,A1,2019,9,6,10,42.34876087,-71.06408261
260,Larceny,A15,2019,9,6,10,42.37439512,-71.05803759999999
262,Larceny,C6,2019,9,6,0,42.32553801,-71.06579592
265,Larceny,E18,2019,9,6,9,42.2518944,-71.1253531
267,Larceny,E13,2019,9,5,19,42.3031399,-71.11735145
279,Larceny,A1,2019,9,6,6,42.35892279,-71.05835354
299,Larceny,A1,2019,9,6,3,42.36643546,-71.06135413
364,Larceny,E5,2019,9,1,14,42.25867638,-71.15116479
368,Larceny,E13,2019,9,5,15,42.30986184,-71.11888379
377,Larceny,D4,2019,9,5,20,42.34862382,-71.08277637
389,Larceny,D14,2019,9,5,15,42.35361371,-71.12967302
392,Larceny,A1,2019,9,5,19,42.36020464,-71.05620816
422,Larceny,E13,2019,9,5,18,42.30327205,-71.11567453
428,Larceny,C6,2019,9,5,16,42.32008642,-71.04121517
462,Larceny,A1,2019,9,5,11,42.3593314,-71.06549247
472,Larceny,A15,2019,9,5,15,42.3751514,-71.0639642
473,Larceny,B2,2019,9,5,16,42.32617421,-71.08118336
482,Larceny,D4,2019,9,5,16,42.34862382,-71.08277637
485,Larceny,E13,2019,9,5,14,42.31191224,-71.11246235
514,Larceny,D4,2019,9,5,13,42.34568199,-71.08231884
522,Larceny,B3,2019,9,3,18,42.28948778,-71.07799371
523,Larceny,B2,2019,9,5,12,42.33153805,-71.08015661
528,Larceny,D14,2019,9,1,10,42.35199741,-71.16768308
534,Larceny,D4,2019,9,5,12,42.35095909,-71.0741278
568,Larceny,B3,2019,9,2,20,42.29634574,-71.08181681
574,Larceny,C6,2019,7,1,10,42.33930416,-71.05160423
576,Larceny,D4,2019,9,5,9,42.33677663,-71.07464452
605,Larceny,C6,2019,9,5,8,42.330335299999994,-71.05760678
637,Larceny,A1,2019,9,4,23,42.3642384,-71.06165515
641,Larceny,D4,2019,9,4,22,42.334831099999995,-71.07904134
657,Larceny,D4,2019,9,4,21,42.33285585,-71.07262418
676,Larceny,D4,2019,9,4,19,42.34295335,-71.08833139
680,Larceny,A1,2019,9,4,20,42.36002828,-71.06776812
700,Larceny,D4,2019,9,2,20,42.34813158,-71.08027002
713,Larceny,B2,2019,9,4,15,42.307821399999995,-71.08354076
723,Larceny,D4,2019,9,4,14,42.34862382,-71.08277637
761,Larceny,B2,2019,9,1,15,42.32987323,-71.09590774
778,Larceny,C11,2019,9,4,14,42.29919694,-71.06046974
792,Larceny,B2,2019,9,1,16,42.31332153,-71.07591511
793,Larceny,D4,2019,9,4,13,42.34840576,-71.08688339
819,Larceny,D4,2019,9,4,12,42.34439568,-71.08632016
822,Larceny,C6,2019,9,4,10,42.32692112,-71.05841861
832,Larceny,E13,2019,9,4,11,42.30132884,-71.10963274
833,Larceny,B2,2019,9,4,10,42.33094752,-71.08285104
846,Larceny,A1,2019,9,4,9,42.35272948,-71.06256291
851,Larceny,D4,2019,9,4,9,42.34442266,-71.09833083
876,Larceny,E13,2019,9,3,13,42.322660299999995,-71.10550489
891,Larceny,B2,2019,9,7,14,42.32952036,-71.08530641
895,Larceny,D4,2019,9,4,2,42.34828759,-71.07891773
900,Larceny,D4,2019,9,4,3,42.34334672,-71.06643142
914,Larceny,D4,2019,9,3,22,42.33738014,-71.08388901
926,Larceny,B2,2019,9,3,22,42.32066147,-71.07067867
975,Larceny,B2,2019,9,3,19,42.31781953,-71.06603518
976,Larceny,A1,2019,9,5,0,42.36658726,-71.06019881
982,Larceny,B2,2019,9,3,19,42.33318299,-71.08307607
989,Larceny,B2,2019,9,1,19,42.3268502,-71.08213196
993,Larceny,A1,2019,9,3,15,42.35540738,-71.06312433
1006,Larceny,D4,2019,9,3,18,42.34496729,-71.06382224
1012,Larceny,B2,2019,9,3,18,42.33044113,-71.08373481
1013,Larceny,E18,2019,8,1,9,42.24361883,-71.11989255
1026,Larceny,C11,2019,9,5,17,42.29548607,-71.05227549
1030,Larceny,A1,2019,9,3,13,42.36020464,-71.05620816
1035,Larceny,D4,2019,9,2,17,42.34044966,-71.08845935
1036,Larceny,D4,2019,9,3,0,42.34543327,-71.07739498
1040,Larceny,D14,2019,9,7,20,42.35160842,-71.14602579999999
